route_id,trip_id,direction_id,start_time,end_time,duration,start_stop,end_stop,num_stops,distance
1,4733693,1,16:45:00,17:16:00,0.5166666666666667,11789,13170,34,10.509686879999999
1,4713560,1,16:45:00,17:16:00,0.5166666666666667,11789,13170,34,10.509686879999999
1,4695274,1,16:45:00,17:16:00,0.5166666666666667,11789,13170,34,10.509686879999999
1,4733694,1,17:16:00,17:46:00,0.5,11789,13170,34,10.509686879999999
1,4713561,1,17:16:00,17:46:00,0.5,11789,13170,34,10.509686879999999
1,4695275,1,17:16:00,17:46:00,0.5,11789,13170,34,10.509686879999999
10,4735175,0,06:05:00,06:48:00,0.7166666666666667,3639,1831,78,19.232300879999997
10,4715465,0,06:05:00,06:48:00,0.7166666666666667,3639,1831,78,19.232300879999997
10,4696756,0,06:05:00,06:48:00,0.7166666666666667,3639,1831,78,19.232300879999997
10,4735176,0,06:29:00,07:13:00,0.7333333333333333,3639,1831,78,19.232300879999997
10,4715466,0,06:29:00,07:13:00,0.7333333333333333,3639,1831,78,19.232300879999997
10,4696757,0,06:29:00,07:13:00,0.7333333333333333,3639,1831,78,19.232300879999997
10,4735177,0,06:50:00,07:35:00,0.75,3639,1831,78,19.232300879999997
10,4715467,0,06:50:00,07:35:00,0.75,3639,1831,78,19.232300879999997
10,4696758,0,06:50:00,07:35:00,0.75,3639,1831,78,19.232300879999997
10,4735178,0,07:06:00,07:52:00,0.7666666666666667,3639,1831,78,19.232300879999997
10,4715468,0,07:06:00,07:52:00,0.7666666666666667,3639,1831,78,19.232300879999997
10,4696759,0,07:06:00,07:52:00,0.7666666666666667,3639,1831,78,19.232300879999997
10,4735179,0,07:24:00,08:10:00,0.7666666666666667,3639,1831,78,19.232300879999997
10,4715469,0,07:24:00,08:10:00,0.7666666666666667,3639,1831,78,19.232300879999997
10,4696760,0,07:24:00,08:10:00,0.7666666666666667,3639,1831,78,19.232300879999997
10,4735180,0,07:46:00,08:33:00,0.7833333333333333,3639,1831,78,19.232300879999997
10,4715470,0,07:46:00,08:33:00,0.7833333333333333,3639,1831,78,19.232300879999997
10,4696761,0,07:46:00,08:33:00,0.7833333333333333,3639,1831,78,19.232300879999997
10,4735181,0,07:58:00,08:44:00,0.7666666666666667,3639,1831,78,19.232300879999997
10,4715471,0,07:58:00,08:44:00,0.7666666666666667,3639,1831,78,19.232300879999997
10,4696762,0,07:58:00,08:44:00,0.7666666666666667,3639,1831,78,19.232300879999997
10,4735182,0,08:14:00,09:00:00,0.7666666666666667,3639,1831,78,19.232300879999997
10,4715472,0,08:14:00,09:00:00,0.7666666666666667,3639,1831,78,19.232300879999997
10,4696763,0,08:14:00,09:00:00,0.7666666666666667,3639,1831,78,19.232300879999997
10,4735183,0,08:33:00,09:18:00,0.75,3639,1831,78,19.232300879999997
10,4715473,0,08:33:00,09:18:00,0.75,3639,1831,78,19.232300879999997
10,4696764,0,08:33:00,09:18:00,0.75,3639,1831,78,19.232300879999997
10,4735184,0,09:00:00,09:44:00,0.7333333333333333,3639,1831,78,19.232300879999997
10,4715474,0,09:00:00,09:44:00,0.7333333333333333,3639,1831,78,19.232300879999997
10,4696765,0,09:00:00,09:44:00,0.7333333333333333,3639,1831,78,19.232300879999997
10,4735185,0,09:28:00,10:12:00,0.7333333333333333,3639,1831,78,19.232300879999997
10,4715475,0,09:28:00,10:12:00,0.7333333333333333,3639,1831,78,19.232300879999997
10,4696766,0,09:28:00,10:12:00,0.7333333333333333,3639,1831,78,19.232300879999997
10,4735186,0,09:57:00,10:42:00,0.75,3639,1831,78,19.232300879999997
10,4715476,0,09:57:00,10:42:00,0.75,3639,1831,78,19.232300879999997
10,4696767,0,09:57:00,10:42:00,0.75,3639,1831,78,19.232300879999997
10,4735187,0,10:24:00,11:09:00,0.75,3639,1831,78,19.232300879999997
10,4715477,0,10:24:00,11:09:00,0.75,3639,1831,78,19.232300879999997
10,4696768,0,10:24:00,11:09:00,0.75,3639,1831,78,19.232300879999997
10,4735188,0,10:54:00,11:39:00,0.75,3639,1831,78,19.232300879999997
